Codigo;Producto;P. Venta;P. Mayoreo;Departamento;Existencia;Tipo de Venta;Proveedor
.0CANCAMO;Cancamo Cerrado #0.0;50;0;- Sin Departamento -;100;UNIDAD;lioi
1000009999089;Tonillo WC piso;1800;0;- Sin Departamento -;5;UNIDAD;
1000090023858;Silicona Blanca Pomo 85g H-Full;1700;0;- Sin Departamento -;11;UNIDAD;herrera
1000090023902;Silicona Acetica Transparente Pomo 85g H-Full;1700;0;- Sin Departamento -;11;UNIDAD;herrera
1000095011607;Spray Alta Temperatura Negro H-Full;5700;0;- Sin Departamento -;1;UNIDAD;herrera
10001000061704;Bisagra Dorada 1 Disp Ferromat;1200;0;- Sin Departamento -;72;UNIDAD;ferromat
10001000062702;Bisagra Dorada 2 Disp Ferromat;2000;0;- Sin Departamento -;58;UNIDAD;herrera
10001000175724;Bisagra Dorada 3/4 Disp;1000;0;- Sin Departamento -;37;UNIDAD;lioi
1000101000014;Soporte 12mm Simple;1800;0;- Sin Departamento -;127;UNIDAD;metalsa
1000101100011;Soporte 16mm Simple;2200;0;- Sin Departamento -;30;UNIDAD;metalsa
1000101100059;Soporte 12mm Doble;3700;0;- Sin Departamento -;97;UNIDAD;metalsa
10015042063003;Bisagra Dorada 3x3 Set Ferromat;3850;0;- Sin Departamento -;171;UNIDAD;ferromat
10015195144003;Bisagra Dorada 3 1/2 Set;4500;0;- Sin Departamento -;114;UNIDAD;ferromat
10019193138702;Bisagra Dorada 2 1/2 Disp Ferromat;2500;0;- Sin Departamento -;72;UNIDAD;ferromat
10080381;Tubo Extensible 1.10 A 2metros Blanco;14900;0;- Sin Departamento -;6;UNIDAD;metalsa
1010000;Conector Llave Jardin Bronce 1/2 X 3/4;1700;0;- Sin Departamento -;25;UNIDAD;taumm
10101;Tranca 2 Lioi;950;0;- Sin Departamento -;72;UNIDAD;todoferretero
10102;Tranca 2 1/2 Lioi;1550;0;- Sin Departamento -;6;UNIDAD;
10103;Tranca 3 Lioi;1900;0;- Sin Departamento -;63;UNIDAD;
10105;Parche Piscina X 10cm;1000;0;- Sin Departamento -;14;UNIDAD;todoferretero
10405;Drywall Madera 3 1/2;5100;0;- Sin Departamento -;54;UNIDAD;valprik
10450;Drywall Metal 2 1/2 100und;3200;0;- Sin Departamento -;42;UNIDAD;mamut
1051100;Tubo Ducha Cromado L;10100;0;- Sin Departamento -;8;UNIDAD;metalsa
10610;Ducto Flexible 4 1 Mtr;7200;0;- Sin Departamento -;19;UNIDAD;ISOPLAST
10627;Ducto Flexible 5 1 Mtrs;8100;0;- Sin Departamento -;28;UNIDAD;ISOPLAST
10634;Ducto Flexible Pvc Blanco 4 3mtros;20500;0;- Sin Departamento -;8;UNIDAD;ISOPLAST
10672;Embudo Plastico;2500;0;- Sin Departamento -;27;UNIDAD;
1069;Alambre Recosido #14.;5400;0;- Sin Departamento -;53;UNIDAD;valprik
10740;Enchufe Macho Eco 2 Patas;900;0;- Sin Departamento -;37;UNIDAD;castillo
10757;Enchufe Macho Eco 3 Patas;1150;0;- Sin Departamento -;55;UNIDAD;
1076;Alambre Recosido #18;5400;0;- Sin Departamento -;92;UNIDAD;valprik
10764;Enchufe Nevada Triple Grafito;5000;0;- Sin Departamento -;11;UNIDAD;
10771;Enchufe Simple De Embutir 10A;2500;0;- Sin Departamento -;230;UNIDAD;castillo
10795;Enchufe Sobrepuesto Doble 10A;4500;0;- Sin Departamento -;20;UNIDAD;
10801;Enchufe Sobrepuesto Doble 16A;5000;0;- Sin Departamento -;31;UNIDAD;
1083;Alambre Galvanizado #14;4800;0;- Sin Departamento -;32;UNIDAD;valprik
10832;Enchufe Sobrepuesto Simple 16A;2500;0;- Sin Departamento -;20;UNIDAD;
10856;Enchufe Telefono Embutir Blanco;2600;0;- Sin Departamento -;40;UNIDAD;castillo
10863;Enchufe Toscana Dorado Simple;3000;0;- Sin Departamento -;15;UNIDAD;castillo
10870;Enchufe Toscana Simple Champane;3000;0;- Sin Departamento -;64;UNIDAD;castillo
10887;Enchufe Toscana Simple Grafito;3000;0;- Sin Departamento -;43;UNIDAD;castillo
1090;Alambre Galvanizado #18;4800;0;- Sin Departamento -;24;UNIDAD;valprik
10917;Enchufe Hembra ECO Negro;1400;0;- Sin Departamento -;67;UNIDAD;
10931;Enchufe toscana doble embutido Blanco;3500;0;- Sin Departamento -;26;UNIDAD;castillo
10948;Enchufe toscana doble embutido Champane;3500;0;- Sin Departamento -;60;UNIDAD;castillo
1094922265424;Set de Anclaje WC;1800;0;- Sin Departamento -;2;UNIDAD;gasfit
10955;Enchufe toscana doble embutido Dorado;3500;0;- Sin Departamento -;20;UNIDAD;castillo
10962;Enchufe toscana doble embutido Grafito;3500;0;- Sin Departamento -;6;UNIDAD;castillo
10979;Enchufe toscana simple embutido Blanco;3000;0;- Sin Departamento -;54;UNIDAD;castillo
10986;Enchufe triple toscana Blanco;5000;0;- Sin Departamento -;0;UNIDAD;castillo
10993;Enchufe triple toscana Champane;5000;0;- Sin Departamento -;9;UNIDAD;castillo
11006;Enchufe triple toscana Dorado;5000;0;- Sin Departamento -;38;UNIDAD;castillo
1101;Grapa Galvanizada 1 1/4;4800;0;- Sin Departamento -;24;GRANEL;todoferretero
11105;Grapa Galvanizada 1;4600;0;- Sin Departamento -;24.250;GRANEL;todoferretero
11112;Escobillon Municipal;7750;0;- Sin Departamento -;5;UNIDAD;Trentini
11136;Escofina Redonda Total;2500;0;- Sin Departamento -;5;UNIDAD;
